bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,insertion
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,28.646250000000002,0.0,2.2725,0.0,8.3325,25.0,3.703333333333333,8.333333333333334,19.083,14.394545454545455,27.34125,50.63,50.0,23.75,51.19,0.0,0.0,0.0,7.3340000000000005,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC_003070.9:165940..165944
0.0,0.0,0.0,0.0,0.0,0.0,1.3883333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,3.3340000000000005,70.0775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,1.666,0.0,2.3814285714285717,5.5566666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.909,0.0,0.0,0.0,0.0,0.0,1.818,0.0,1.4285714285714286,0.0,0.0,NC_003070.9:23504373..23504377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33500000000001,100.0,0.0,48.51,60.105000000000004,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.5725,9.073333333333332,0.0,2.8579999999999997,0.0,1.13625,0.0,1.13625,1.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.524285714285714,NC_003070.9:24318592..24318596
16.67,14.29,37.5,15.9725,8.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,0.0,1.1363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,12.5,0.0,0.0,0.0,0.0,0.0,7.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818,7.07,0.0,4.0,4.0,0.0,3.5725,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,NC_003070.9:25881399..25881404
0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.8516666666666666,0.0,1.0,0.0,0.0,0.0,0.0,2.2091666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.873333333333333,0.0,0.0,0.0,4.1675,2.08375,7.145,0.0,0.0,0.0,0.0,0.0,0.0,4.1675,0.0,0.0,0.0,2.08375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1675,0.0,0.0,0.0,0.0,0.0,0.0,6.25,13.096666666666666,6.25,NC_003071.7:169679..169683
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.5,0.0,2.7775,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,2.38,12.857142857142858,0.0,0.0,2.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.03,NC_003071.7:684927..684931
0.0,0.0,0.0,0.0,0.0,0.0,8.335,0.0,0.0,0.0,1.3883333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5725,0.0,0.0,0.0,0.0,2.21125,5.448333333333333,3.5725,3.845,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.136,0.0,0.0,0.0,0.0,4.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC_003071.7:1001318..1001322
0.0,0.0,0.0,0.0,0.0,1.02,0.6063636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8263636363636363,0.0,0.0,5.844545454545454,0.0,0.0,0.0,2.8579999999999997,15.23857142857143,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,30.0,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.5725,1.5154545454545456,0.0,2.08375,0.0,0.0,0.0,12.5,0.0,0.0,0.0,7.145,0.0,0.0,21.43,0.0,22.36,53.47,0.0,5.0,0.0,NC_003071.7:2614798..2614803
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,4.28625,0.0,5.555,0.0,0.0,0.0,10.0,0.0,1.5625,5.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC_003071.7:14489344..14489348
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5566666666666675,0.0,0.0,0.0,0.0,17.513333333333335,0.0,0.0,0.0,16.665,5.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0609090909090915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC_003071.7:15105060..15105065
